code,lat,lng
AEX,31.327372,-92.548556
GFK,47.947278,-97.173778
IFP,35.155972,-114.559444
CWA,44.777624,-89.666778
ACK,41.252975,-70.059911
EWN,35.072853,-77.043020
MBS,43.532917,-84.079639
ITO,19.720263,-155.048470
GCN,35.952361,-112.146972
HLN,46.606806,-111.982750
BRO,25.906833,-97.425833
SGU,37.036389,-113.510306
RFD,42.195361,-89.097222
MLU,32.510861,-92.037667
HTS,38.368508,-82.560360
SAF,35.617111,-106.089417
TOL,41.586806,-83.807833
CMI,40.038833,-88.277806
BFL,35.433861,-119.057667
CPR,42.905861,-106.463639
ITH,42.491361,-76.458722
HDN,40.481194,-107.217667
SCK,37.894167,-121.238306
ENA,60.573307,-151.244778
PVU,40.219194,-111.723361
SPI,39.844222,-89.678083
LSE,43.879278,-91.256639
ABI,32.411333,-99.681889
COU,38.818093,-92.219629
LRD,27.544194,-99.461583
MKK,21.152886,-157.096256
PSE,18.008306,-66.563000
SUN,43.503781,-114.295558
FSM,35.336583,-94.367444
ERI,42.083083,-80.173944
ADQ,57.749967,-152.493794
LYH,37.325389,-79.201222
OTZ,66.884619,-162.597678
LWS,46.374500,-117.015389
OME,64.512553,-165.444371
CLL,30.588583,-96.363833
YKM,46.568167,-120.544056
FLG,35.140306,-111.669250
ISN,48.177939,-103.642347
